transaction_id,account_id,date,type,amount
59,166,2025-02-23,transfer,170747
60,226,2025-07-22,deposit,988398
61,156,2025-01-05,withdrawal,630148
62,181,2025-05-15,transfer,43897
63,237,2025-01-06,withdrawal,49434
64,189,2025-11-03,withdrawal,90458
65,47,2025-08-24,transfer,316468
66,197,2025-09-17,withdrawal,618519
67,22,2025-09-26,withdrawal,963207
68,97,2025-08-08,withdrawal,644394
69,257,2025-07-26,deposit,134758
70,53,2025-01-20,withdrawal,759014
71,259,2024-12-28,transfer,95470
72,127,2025-07-20,transfer,234511
73,269,2025-02-27,transfer,324713
74,187,2025-05-01,withdrawal,972526
75,199,2025-05-30,withdrawal,822085
76,27,2025-05-28,transfer,344374
77,34,2025-09-19,withdrawal,109096
78,198,2025-11-09,withdrawal,274236
79,77,2025-10-02,withdrawal,95461
80,73,2025-11-08,withdrawal,335301
81,201,2025-12-05,deposit,1252891
82,44,2025-06-18,withdrawal,596072
83,169,2025-12-02,deposit,1410335
84,270,2025-11-16,deposit,1359812
85,217,2024-12-17,transfer,194702
86,186,2025-03-27,withdrawal,199019
87,175,2025-04-02,withdrawal,211332
88,71,2025-05-08,deposit,166826
89,52,2025-09-10,transfer,409160
90,270,2025-05-29,deposit,1393166
91,68,2025-02-24,transfer,202509
92,84,2025-11-27,deposit,1748456
93,85,2024-12-30,transfer,234466
94,211,2025-04-08,withdrawal,719217
95,228,2025-07-25,transfer,154384
96,120,2025-05-15,transfer,130393
97,241,2025-11-20,deposit,776418
98,293,2025-05-01,withdrawal,494106
99,196,2025-07-10,transfer,281540
100,83,2025-10-13,deposit,1685362
101,71,2025-11-01,withdrawal,64714
102,247,2025-01-29,withdrawal,591478
103,265,2025-01-19,deposit,602820
104,83,2025-08-27,withdrawal,481145
105,76,2025-03-31,withdrawal,106168
106,231,2024-12-21,withdrawal,985670
107,213,2025-08-22,deposit,836424
108,192,2025-01-18,deposit,814849
109,192,2025-05-20,deposit,64113
110,51,2025-05-28,transfer,345766
111,75,2025-05-03,deposit,85327
112,242,2025-02-17,transfer,440741
113,241,2024-12-10,withdrawal,655239
114,41,2025-03-28,deposit,541711
115,77,2025-10-15,transfer,497949
116,271,2025-05-04,withdrawal,126587
117,122,2025-01-01,withdrawal,137767
118,123,2025-10-22,withdrawal,679989
119,235,2025-08-20,deposit,237485
120,275,2025-08-28,deposit,1330305
121,295,2025-02-19,deposit,1511896
122,150,2025-10-18,withdrawal,11640
123,181,2025-07-09,deposit,1201768
124,96,2025-01-20,transfer,355337
125,269,2025-09-03,withdrawal,80966
126,279,2025-08-24,transfer,417306
127,284,2025-08-05,deposit,823840
128,23,2025-06-17,transfer,207837
129,130,2025-06-08,transfer,13515
130,35,2025-11-09,withdrawal,262838
131,54,2025-05-27,transfer,390449
132,69,2025-09-13,deposit,743824
133,174,2025-11-23,transfer,96797
134,238,2025-10-27,transfer,255888
135,94,2025-07-30,deposit,137331
136,19,2024-12-30,withdrawal,221383
137,103,2025-05-15,deposit,666852
138,264,2025-09-12,withdrawal,865015
139,243,2025-11-04,withdrawal,48399
140,98,2025-01-01,withdrawal,384314
141,170,2025-06-14,withdrawal,140521
142,224,2025-07-21,withdrawal,789414
143,198,2025-08-19,withdrawal,205892
144,255,2025-08-30,withdrawal,979209
145,137,2025-07-13,deposit,1529800
146,41,2025-03-10,withdrawal,641718
147,280,2025-01-29,withdrawal,346814
148,41,2025-05-08,withdrawal,703024
149,157,2025-07-14,withdrawal,641894
150,86,2025-06-05,transfer,237735
151,229,2025-06-06,deposit,1529240
152,223,2025-01-06,withdrawal,680532
153,39,2025-07-03,transfer,339240
154,187,2025-11-20,transfer,425005
155,82,2025-10-15,deposit,304430
156,225,2025-01-11,deposit,269723
157,121,2025-06-11,transfer,197061
158,197,2025-10-13,transfer,21979
159,79,2025-06-15,transfer,240889
160,191,2025-01-16,withdrawal,810152
161,294,2025-06-13,deposit,1115357
162,204,2025-04-29,withdrawal,691113
163,128,2025-03-13,deposit,59344
164,256,2025-09-21,transfer,207892
165,61,2025-04-20,withdrawal,822609
166,229,2025-05-03,deposit,1288199
167,252,2025-02-15,deposit,262189
168,38,2025-12-08,withdrawal,191043
169,228,2025-11-22,deposit,1704769
170,164,2025-12-06,transfer,187150
171,34,2025-05-05,transfer,289253
172,154,2025-12-06,deposit,1497771
173,90,2025-04-01,withdrawal,543469
174,63,2025-02-17,deposit,1666082
175,122,2025-06-10,withdrawal,37560
176,284,2025-08-04,transfer,198415
177,283,2025-01-21,deposit,1288348
178,34,2025-08-10,withdrawal,427500
179,270,2025-07-05,withdrawal,816527
180,295,2025-05-19,deposit,267829
181,38,2025-11-21,withdrawal,498461
182,265,2025-09-16,withdrawal,144568
183,94,2025-08-22,deposit,912266
184,29,2025-02-24,deposit,1091538
185,156,2025-05-22,deposit,344669
186,116,2025-08-30,withdrawal,996609
187,146,2025-03-18,deposit,530557
188,283,2025-10-24,withdrawal,141250
189,156,2025-01-24,transfer,284696
190,258,2025-10-07,transfer,93413
191,298,2025-11-10,deposit,364033
192,173,2024-12-22,transfer,26597
193,42,2025-11-01,deposit,1994246
194,296,2025-03-25,withdrawal,692759
195,293,2025-10-31,withdrawal,658133
196,16,2025-10-25,withdrawal,942180
197,280,2025-05-11,withdrawal,683088
198,248,2025-11-23,deposit,1692553
199,208,2025-01-14,withdrawal,485575
200,31,2025-07-08,deposit,926919
201,248,2025-05-31,withdrawal,223933
202,74,2025-05-20,withdrawal,913332
203,177,2025-06-15,withdrawal,147118
204,264,2025-05-20,transfer,60670
205,124,2025-04-23,withdrawal,138473
206,231,2025-01-26,deposit,300441
207,26,2025-10-19,withdrawal,412810
208,215,2025-02-27,deposit,1819681
209,168,2025-05-17,transfer,383078
210,98,2025-08-28,deposit,1049938
211,240,2025-05-14,withdrawal,931777
212,255,2025-06-27,deposit,193846
213,259,2025-03-28,withdrawal,262422
214,299,2025-01-02,withdrawal,61021
215,145,2025-11-07,withdrawal,636543
216,241,2024-12-12,withdrawal,572761
217,56,2025-04-22,withdrawal,150440
218,188,2024-12-31,withdrawal,393713
219,206,2025-09-21,deposit,1200967
220,100,2025-05-04,withdrawal,590096
221,38,2025-07-26,withdrawal,538750
222,282,2025-10-23,withdrawal,875401
223,61,2025-06-27,deposit,207755
224,192,2025-06-13,withdrawal,594929
225,74,2025-08-25,deposit,1268456
226,206,2024-12-31,transfer,26105
227,20,2025-05-27,deposit,1501510
228,243,2025-02-22,transfer,244593
229,264,2025-10-17,deposit,692794
230,164,2025-10-19,deposit,829085
231,154,2025-08-24,transfer,181356
232,261,2025-12-05,transfer,261820
233,289,2024-12-16,withdrawal,507960
234,189,2025-02-02,withdrawal,716537
235,214,2025-11-25,transfer,166311
236,14,2025-04-22,transfer,253821
237,297,2025-01-03,transfer,124298
238,299,2025-09-02,withdrawal,188794
239,195,2025-11-21,deposit,1728148
240,125,2025-12-01,deposit,1205766
241,57,2025-07-21,deposit,44714
242,161,2025-07-07,withdrawal,168787
243,105,2025-10-17,withdrawal,536195
244,242,2025-01-08,transfer,386368
245,71,2025-09-21,transfer,113706
246,167,2025-09-03,transfer,255804
247,193,2025-07-31,withdrawal,191594
248,273,2025-06-07,withdrawal,582808
249,136,2025-03-16,transfer,258849
250,127,2025-05-09,withdrawal,595196
251,116,2025-05-04,withdrawal,818634
252,107,2025-08-15,transfer,374616
253,163,2025-09-20,withdrawal,375746
254,141,2025-09-27,withdrawal,137794
255,279,2025-06-28,withdrawal,949272
256,177,2024-12-29,deposit,614123
257,148,2025-06-03,transfer,46434
258,227,2025-08-10,transfer,139450
259,110,2025-09-09,deposit,1741340
260,139,2025-04-26,transfer,369994
261,71,2025-10-04,deposit,1296168
262,123,2025-11-15,deposit,111462
263,272,2025-04-06,deposit,1342866
264,27,2025-05-26,deposit,871755
265,242,2025-02-16,deposit,1433563
266,3,2025-02-26,transfer,492115
267,209,2025-08-08,transfer,495226
268,245,2025-05-04,transfer,109572
269,165,2025-01-07,withdrawal,687273
270,46,2025-04-05,transfer,306011
271,274,2024-12-27,transfer,384121
272,90,2025-03-08,withdrawal,935100
273,19,2025-08-18,withdrawal,836236
274,96,2025-05-05,transfer,462331
275,20,2025-09-24,deposit,630773
276,55,2025-07-28,withdrawal,308384
277,279,2025-02-14,transfer,263952
278,259,2025-03-16,withdrawal,296090
279,58,2025-07-30,withdrawal,180387
280,132,2024-12-15,transfer,102621
281,173,2025-11-18,withdrawal,605361
282,99,2025-10-31,deposit,1286264
283,208,2025-05-24,withdrawal,550310
284,45,2025-01-25,withdrawal,711765
285,95,2025-05-22,deposit,1006293
286,128,2025-06-22,deposit,551906
287,121,2025-04-23,withdrawal,800371
288,169,2025-09-27,withdrawal,620754
289,6,2025-06-10,withdrawal,695436
290,121,2025-02-06,deposit,1405448
291,239,2025-07-03,withdrawal,177475
292,258,2025-05-16,transfer,408618
293,61,2025-05-08,transfer,485316
294,189,2025-03-30,transfer,120788
295,69,2025-07-28,withdrawal,170626
296,192,2025-09-15,withdrawal,746038
297,242,2025-11-13,transfer,425476
298,112,2025-10-09,deposit,1431780
299,42,2025-09-04,transfer,239224
300,186,2025-09-22,deposit,1928601
301,58,2025-09-14,deposit,1743065
302,259,2025-09-08,deposit,1206042
303,77,2025-08-31,deposit,693112
304,227,2025-03-23,deposit,1431682
305,299,2025-08-26,withdrawal,105359
306,229,2025-02-13,deposit,955916
307,263,2025-09-22,withdrawal,488987
308,30,2025-11-17,transfer,247419
309,158,2025-06-28,transfer,16413
310,131,2025-03-29,deposit,1569065
311,297,2025-07-12,deposit,99979
312,177,2025-09-11,transfer,38428
313,31,2025-08-06,deposit,1963269
314,17,2025-03-10,withdrawal,438728
315,70,2025-11-03,transfer,387357
316,216,2025-06-21,withdrawal,944631
317,230,2025-01-18,withdrawal,403892
318,277,2025-06-04,deposit,1375560
319,61,2025-06-27,deposit,1131712
320,271,2025-04-01,deposit,1531429
321,2,2025-08-02,deposit,630712
322,279,2025-06-20,withdrawal,567772
323,118,2025-06-03,deposit,971001
324,80,2025-02-03,withdrawal,207636
325,17,2025-10-18,transfer,224802
326,9,2025-01-11,deposit,437184
327,52,2025-07-24,transfer,22603
328,25,2024-12-30,deposit,1558027
329,206,2025-09-10,withdrawal,255722
330,112,2025-08-22,deposit,298885
331,149,2025-09-28,deposit,1715827
332,164,2025-11-17,transfer,318481
333,165,2025-02-19,deposit,637845
334,267,2025-05-10,deposit,872298
335,141,2025-10-06,deposit,1172522
336,90,2025-07-14,transfer,360860
337,285,2025-06-02,withdrawal,59161
338,196,2025-11-29,transfer,172108
339,214,2025-05-10,withdrawal,166466
340,193,2025-09-09,deposit,1587125
341,243,2025-04-02,deposit,1786197
342,154,2025-08-02,transfer,80681
343,30,2025-07-09,transfer,221361
344,286,2025-06-24,transfer,75303
345,125,2025-05-26,withdrawal,223214
346,41,2025-06-15,withdrawal,898283
347,48,2025-03-15,transfer,384891
348,27,2025-11-17,withdrawal,405489
349,21,2025-10-04,deposit,399607
350,287,2025-03-24,deposit,1010362
351,171,2024-12-15,withdrawal,963149
352,109,2025-02-06,deposit,1559986
353,246,2025-10-13,deposit,1463834
354,105,2025-04-09,withdrawal,969579
355,283,2025-05-01,withdrawal,823185
356,195,2025-11-05,withdrawal,569572
357,184,2025-06-10,withdrawal,284267
358,263,2025-01-27,withdrawal,498640
359,241,2025-03-22,withdrawal,968745
360,190,2024-12-31,withdrawal,444037
361,289,2025-02-20,deposit,1559518
362,9,2025-10-03,withdrawal,590189
363,297,2025-05-08,transfer,223931
364,79,2025-04-04,deposit,696777
365,195,2025-04-12,transfer,441922
366,256,2025-11-23,transfer,348203
367,173,2025-08-15,withdrawal,810441
368,252,2025-06-06,withdrawal,186405
369,87,2025-09-13,deposit,1515606
370,251,2025-09-11,deposit,1927877
371,31,2025-01-15,transfer,22733
372,25,2025-02-16,deposit,869849
373,119,2025-02-23,deposit,1488042
374,5,2025-07-29,deposit,1065598
375,192,2025-10-30,deposit,1300694
376,248,2024-12-16,transfer,260776
377,4,2025-07-06,transfer,294220
378,7,2025-04-27,deposit,1115269
379,275,2025-08-22,withdrawal,27975
380,221,2025-01-26,deposit,229429
381,269,2025-03-16,deposit,510348
382,270,2025-06-07,withdrawal,864814
383,137,2025-06-17,withdrawal,92857
384,208,2025-04-11,withdrawal,602447
385,116,2025-01-18,withdrawal,727269
386,17,2025-06-20,deposit,854930
387,194,2025-01-05,transfer,254563
388,5,2025-01-19,transfer,94854
389,256,2025-05-26,withdrawal,686234
390,290,2025-09-04,deposit,1881513
391,22,2025-11-27,deposit,448373
392,291,2024-12-31,withdrawal,294263
393,39,2025-04-30,transfer,490273
394,279,2024-12-24,transfer,350038
395,92,2025-03-24,withdrawal,26418
396,74,2025-06-29,transfer,435389
397,40,2025-09-22,withdrawal,180341
398,124,2025-06-25,transfer,442597
399,277,2025-02-17,withdrawal,412491
400,41,2025-06-03,transfer,395833
401,28,2025-04-05,deposit,921640
402,39,2025-10-18,withdrawal,644565
403,204,2025-10-28,withdrawal,41064
404,140,2025-04-03,withdrawal,524435
405,183,2025-06-18,transfer,498429
406,222,2025-10-03,deposit,1430423
407,195,2025-10-20,deposit,1624352
408,152,2025-01-14,deposit,1500496
409,43,2025-06-20,withdrawal,171712
410,79,2025-05-19,transfer,209274
411,185,2024-12-10,deposit,196932
412,158,2025-04-25,withdrawal,387400
413,53,2025-03-13,deposit,188075
414,221,2025-09-18,withdrawal,594041
415,263,2024-12-21,withdrawal,118310
416,46,2025-01-24,withdrawal,591141
417,167,2025-05-06,withdrawal,22940
418,212,2025-01-20,withdrawal,827018
419,287,2025-08-31,deposit,1204487
420,87,2025-03-04,transfer,204613
421,72,2025-04-24,withdrawal,325759
422,253,2025-03-03,deposit,137680
423,223,2025-05-10,withdrawal,451557
424,248,2025-04-15,deposit,762333
425,127,2025-08-18,transfer,332697
426,101,2025-02-15,withdrawal,122168
427,156,2025-06-28,deposit,1994827
428,171,2025-05-25,transfer,204171
429,226,2025-11-06,withdrawal,461533
430,70,2025-10-12,withdrawal,346241
431,103,2025-03-08,withdrawal,339445
432,204,2025-11-28,withdrawal,315605
433,252,2025-04-11,transfer,414979
434,167,2025-06-27,withdrawal,303916
435,187,2025-09-22,deposit,1959686
436,103,2025-03-10,transfer,291066
437,282,2025-08-01,deposit,1530076
438,108,2025-05-06,withdrawal,846433
439,36,2025-08-20,withdrawal,715668
440,72,2025-04-10,transfer,163771
441,130,2025-07-12,transfer,85815
442,194,2025-10-10,deposit,946761
443,246,2025-09-07,transfer,215137
444,260,2025-09-12,transfer,224310
445,19,2025-09-08,withdrawal,745716
446,44,2025-04-14,deposit,1617613
447,182,2025-10-17,deposit,1361857
448,23,2025-11-19,transfer,343182
449,205,2025-07-16,withdrawal,844908
450,55,2025-04-19,deposit,211792
451,114,2025-08-30,transfer,396566
452,286,2025-09-28,transfer,365534
453,114,2025-06-26,withdrawal,402292
454,238,2025-11-26,transfer,313590
455,257,2024-12-20,deposit,728449
456,248,2025-07-08,deposit,624566
457,44,2025-02-18,deposit,1748399
458,179,2025-07-29,withdrawal,369731
459,106,2025-06-04,transfer,258192
460,244,2025-11-29,deposit,923900
461,232,2025-05-10,withdrawal,80437
462,23,2024-12-19,transfer,65337
463,176,2025-11-19,transfer,62337
464,85,2025-08-29,transfer,132880
465,90,2025-05-26,transfer,88957
466,287,2025-04-05,withdrawal,494498
467,208,2025-03-13,transfer,101705
468,222,2025-10-18,withdrawal,40610
469,102,2025-07-15,withdrawal,630970
470,200,2025-03-27,deposit,1482937
471,106,2025-12-03,withdrawal,798870
472,33,2025-09-08,transfer,58347
473,96,2025-03-18,withdrawal,351819
474,235,2025-11-16,deposit,555194
475,251,2025-05-17,transfer,340076
476,199,2025-10-04,transfer,210806
477,59,2025-07-30,withdrawal,379082
478,89,2025-05-09,transfer,375141
479,44,2025-05-17,transfer,75227
480,61,2025-02-05,deposit,645428
481,94,2025-02-18,withdrawal,737120
482,262,2025-10-09,withdrawal,448555
483,71,2025-07-12,transfer,206174
484,96,2025-09-09,withdrawal,676371
485,89,2025-08-15,transfer,92485
486,148,2025-05-18,deposit,397374
487,231,2025-06-09,transfer,33107
488,5,2025-03-17,withdrawal,153167
489,197,2025-11-07,transfer,269995
490,254,2025-08-16,withdrawal,727956
491,213,2025-07-23,transfer,445345
492,251,2025-09-23,deposit,178372
493,16,2024-12-24,deposit,617556
494,141,2025-05-04,deposit,1132446
495,87,2025-08-18,withdrawal,603127
496,282,2025-09-27,transfer,64355
497,59,2025-09-12,withdrawal,822764
498,188,2024-12-29,transfer,436285
499,226,2025-07-13,transfer,119578
500,53,2025-11-07,transfer,440196
501,127,2024-12-24,withdrawal,927304
502,231,2025-01-21,withdrawal,375509
503,225,2025-04-08,deposit,1631617
504,108,2025-11-25,transfer,313241
505,180,2025-10-27,transfer,324952
506,220,2025-02-17,deposit,1297162
507,106,2025-01-07,deposit,1694131
508,292,2025-04-30,withdrawal,568136
509,276,2025-12-03,deposit,683750
510,150,2025-04-23,withdrawal,610556
511,264,2025-01-25,transfer,432389
512,70,2025-01-07,withdrawal,973398
513,142,2025-12-02,transfer,71525
514,68,2025-12-07,deposit,311694
515,165,2025-11-19,deposit,1601925
516,202,2025-09-29,withdrawal,159077
517,138,2025-06-18,transfer,222173
518,232,2025-01-24,deposit,1333813
519,207,2025-04-29,transfer,398112
520,189,2025-05-24,withdrawal,521751
521,298,2025-01-24,deposit,1827231
522,235,2025-11-30,transfer,353202
523,184,2025-09-07,deposit,1673657
524,204,2025-03-26,deposit,906026
525,254,2025-05-02,withdrawal,348548
526,173,2025-02-12,transfer,308003
527,290,2025-06-01,withdrawal,836596
528,25,2025-10-24,deposit,213823
529,236,2025-02-26,deposit,265544
530,226,2025-07-15,withdrawal,10708
531,104,2025-02-13,transfer,481791
532,155,2025-04-27,deposit,1838798
533,48,2025-04-15,transfer,193971
534,43,2025-11-05,withdrawal,706787
535,85,2025-10-24,deposit,836188
536,157,2025-04-06,transfer,371708
537,220,2025-12-03,transfer,52814
538,49,2025-08-09,deposit,452576
539,40,2025-04-02,deposit,1250036
540,266,2024-12-12,transfer,238343
541,5,2025-02-07,transfer,185131
542,217,2025-08-09,transfer,74297
543,37,2025-01-22,deposit,808355
544,53,2025-06-14,deposit,662145
545,154,2025-02-14,deposit,807624
546,74,2025-09-22,deposit,1117556
547,5,2025-03-02,transfer,345797
548,226,2025-03-27,withdrawal,767524
549,78,2025-11-24,withdrawal,656002
550,227,2025-01-28,deposit,186797
551,72,2025-06-22,deposit,1241426
552,180,2025-02-17,withdrawal,339780
553,127,2025-01-20,withdrawal,685933
554,128,2025-10-11,transfer,320096
555,146,2025-11-10,transfer,19063
556,155,2025-10-14,deposit,1090798
557,261,2025-06-26,deposit,1573341
558,152,2025-04-09,transfer,33609
559,254,2025-04-10,withdrawal,128220
560,256,2025-01-13,transfer,316390
561,271,2025-05-19,deposit,762277
562,68,2025-09-25,withdrawal,912628
563,216,2025-11-22,withdrawal,582896
564,89,2025-01-14,withdrawal,817788
565,9,2024-12-15,transfer,40406
566,135,2025-01-07,deposit,88522
567,204,2025-10-25,transfer,155202
568,257,2025-12-02,withdrawal,454150
569,206,2025-09-08,deposit,1348304
570,276,2025-04-29,transfer,85048
571,43,2025-08-26,withdrawal,92860
572,105,2025-05-24,deposit,1129891
573,201,2025-11-05,transfer,337552
574,34,2025-07-19,withdrawal,742614
575,123,2025-01-21,deposit,517711
576,223,2025-10-17,deposit,955789
577,29,2025-11-09,withdrawal,708435
578,90,2025-12-05,deposit,31560
579,71,2025-03-01,transfer,10950
580,255,2025-08-29,withdrawal,558410
581,133,2025-02-10,deposit,784866
582,138,2025-02-06,transfer,469736
583,16,2025-07-15,withdrawal,856313
584,140,2025-04-21,transfer,38487
585,296,2025-08-19,transfer,45406
586,234,2025-01-05,transfer,193808
587,256,2025-06-14,transfer,92493
588,81,2025-01-29,withdrawal,820894
589,294,2025-02-05,transfer,383944
590,117,2024-12-09,transfer,271770
591,23,2024-12-31,deposit,517861
592,242,2025-02-22,withdrawal,411583
593,92,2025-12-08,deposit,1164441
594,215,2025-04-14,deposit,679867
595,214,2025-04-25,transfer,172738
596,40,2025-02-07,transfer,200458
597,258,2025-01-03,transfer,477876
598,92,2025-08-29,deposit,1691819
599,24,2025-08-03,withdrawal,82274
600,145,2025-01-21,withdrawal,353199
601,284,2025-06-14,withdrawal,18356
602,103,2025-05-12,withdrawal,601194
603,125,2025-10-06,withdrawal,396162
604,253,2025-09-13,deposit,1541086
605,126,2025-07-05,deposit,18375
606,13,2025-06-03,deposit,1140702
607,5,2025-11-09,withdrawal,11533
608,193,2025-05-14,transfer,386270
609,54,2025-04-08,deposit,1116101
610,215,2025-02-18,withdrawal,72804
611,144,2025-04-05,deposit,97065
612,267,2025-06-16,withdrawal,744891
613,235,2025-10-01,transfer,49513
614,49,2025-10-30,transfer,74999
615,202,2025-09-24,deposit,1246295
616,32,2025-02-12,withdrawal,704622
617,122,2025-05-18,withdrawal,283668
618,202,2025-05-24,transfer,441155
619,163,2025-04-06,withdrawal,295166
620,39,2025-10-03,deposit,290447
621,56,2025-03-02,deposit,226580
622,231,2025-07-04,withdrawal,339287
623,62,2025-03-24,transfer,192845
624,232,2025-04-22,withdrawal,495854
625,62,2025-11-24,deposit,335543
626,156,2025-10-12,transfer,370364
627,21,2025-05-24,deposit,1758061
628,76,2025-04-14,deposit,1496405
629,183,2025-01-02,withdrawal,548401
630,154,2025-03-07,withdrawal,869926
631,16,2025-07-27,withdrawal,906114
632,285,2025-04-14,transfer,293421
633,49,2025-02-17,withdrawal,116857
634,63,2025-03-31,deposit,134329
635,67,2025-07-01,deposit,1732368
636,191,2025-11-03,transfer,335457
637,44,2025-04-19,transfer,312295
638,39,2025-03-19,deposit,140207
639,228,2025-05-26,deposit,197893
640,63,2025-08-01,deposit,1981105
641,26,2025-09-27,deposit,1943044
642,222,2025-08-19,transfer,212093
643,16,2025-07-14,withdrawal,726400
644,89,2025-03-13,withdrawal,235146
645,141,2025-02-22,withdrawal,477676
646,18,2025-10-19,transfer,329626
647,126,2025-08-20,transfer,159720
648,211,2025-01-08,transfer,256150
649,45,2025-02-16,withdrawal,411620
650,215,2025-09-03,deposit,1352740
651,128,2025-09-12,transfer,425567
652,10,2025-12-08,withdrawal,829898
653,184,2025-08-13,withdrawal,580968
654,177,2025-05-21,transfer,268398
655,199,2024-12-21,withdrawal,198550
656,164,2024-12-23,transfer,119829
657,144,2025-08-06,deposit,1700870
658,272,2025-10-03,withdrawal,814092
659,120,2025-04-13,deposit,214996
660,124,2025-01-05,withdrawal,569614
661,113,2025-06-24,transfer,448812
662,182,2025-04-08,deposit,374309
663,163,2025-06-09,transfer,370757
664,15,2025-06-06,transfer,372295
665,291,2025-09-22,transfer,79502
666,97,2025-05-15,withdrawal,578458
667,90,2025-01-23,withdrawal,49807
668,29,2025-03-30,deposit,1266778
669,11,2024-12-08,transfer,255603
670,170,2025-02-12,transfer,110625
671,175,2025-05-22,transfer,98040
672,31,2025-10-04,deposit,314774
673,73,2025-09-03,deposit,1780199
674,187,2025-12-03,deposit,788476
675,203,2025-05-29,transfer,57969
676,155,2025-02-26,withdrawal,153079
677,224,2025-11-05,transfer,260433
678,163,2025-09-21,deposit,1488070
679,183,2025-10-05,deposit,1400721
680,90,2025-11-25,withdrawal,331727
681,151,2024-12-08,deposit,377681
682,294,2025-09-24,withdrawal,902083
683,17,2025-05-19,deposit,1268300
684,114,2025-01-30,transfer,301511
685,255,2025-01-16,deposit,699510
686,122,2025-03-03,withdrawal,345039
687,46,2025-10-31,transfer,356285
688,172,2025-04-22,withdrawal,21949
689,108,2025-01-11,deposit,1458695
690,180,2025-02-01,withdrawal,835250
691,1,2025-07-20,deposit,814368
692,215,2025-07-07,deposit,1860039
693,253,2025-09-13,withdrawal,378292
694,193,2025-08-10,deposit,1743134
695,296,2025-11-24,transfer,402537
696,116,2025-01-14,deposit,951418
697,18,2025-05-20,withdrawal,31053
698,134,2025-06-01,deposit,160609
699,88,2025-01-15,withdrawal,178720
700,281,2025-10-08,deposit,713733
701,248,2025-07-16,transfer,21249
702,85,2025-07-18,transfer,471486
703,81,2025-05-26,deposit,217353
704,106,2025-11-29,deposit,863322
705,284,2025-09-10,transfer,490267
706,136,2025-05-09,transfer,152599
707,122,2025-06-27,deposit,109093
708,293,2025-08-16,transfer,445325
709,79,2024-12-09,deposit,761713
710,219,2025-11-11,deposit,622714
711,246,2024-12-21,deposit,208396
712,106,2025-05-06,deposit,1343382
713,42,2025-02-05,withdrawal,894756
714,158,2025-08-15,withdrawal,503821
715,136,2025-09-12,deposit,1351091
716,199,2025-06-21,deposit,783086
717,190,2024-12-30,deposit,939858
718,135,2025-04-21,withdrawal,497648
719,116,2025-01-08,withdrawal,601655
720,78,2025-01-26,transfer,354945
721,44,2025-09-11,transfer,185245
722,212,2025-09-17,transfer,124282
723,32,2025-09-01,withdrawal,868160
724,215,2025-08-08,transfer,365221
725,294,2025-05-10,deposit,1003794
726,41,2025-12-08,withdrawal,956630
727,18,2025-08-29,transfer,304483
728,293,2025-02-21,transfer,330201
729,62,2025-03-03,withdrawal,191276
730,109,2024-12-29,deposit,269631
731,217,2025-07-18,deposit,1437617
732,104,2025-10-08,transfer,82530
733,133,2025-01-11,withdrawal,965047
734,45,2025-06-29,withdrawal,593390
735,283,2025-04-28,withdrawal,908235
736,267,2024-12-14,withdrawal,971713
737,268,2025-07-08,withdrawal,127984
738,77,2025-10-05,deposit,1193233
739,299,2025-01-31,deposit,1944714
