transaction_id,account_id,date,type,amount,transaction_month,risk_flag,day_of_week,week
35,109,2025-04-17,deposit,1607561,2025-04,0,Thursday,16
36,149,2024-12-11,withdrawal,135812,2024-12,0,Wednesday,50
37,255,2025-03-07,transfer,230787,2025-03,0,Friday,10
38,67,2025-12-03,withdrawal,568453,2025-12,1,Wednesday,49
39,118,2025-11-15,transfer,297932,2025-11,0,Saturday,46
40,182,2024-12-29,deposit,837718,2024-12,0,Sunday,52
41,224,2025-01-16,deposit,969174,2025-01,0,Thursday,3
42,161,2025-09-27,transfer,230068,2025-09,0,Saturday,39
43,208,2025-07-09,transfer,340618,2025-07,0,Wednesday,28
44,149,2024-12-18,deposit,854414,2024-12,0,Wednesday,51
45,167,2025-10-20,deposit,1685494,2025-10,0,Monday,43
46,236,2025-06-11,transfer,487224,2025-06,0,Wednesday,24
47,46,2025-01-31,withdrawal,895506,2025-01,1,Friday,5
48,125,2025-07-01,withdrawal,627476,2025-07,1,Tuesday,27
49,269,2025-05-15,deposit,834982,2025-05,0,Thursday,20
50,174,2025-03-04,deposit,703495,2025-03,0,Tuesday,10
51,40,2025-02-04,transfer,336992,2025-02,0,Tuesday,6
52,272,2025-06-04,transfer,106661,2025-06,0,Wednesday,23
53,180,2025-11-03,transfer,434364,2025-11,0,Monday,45
54,76,2025-02-20,deposit,220596,2025-02,0,Thursday,8
55,132,2025-10-12,deposit,368853,2025-10,0,Sunday,41
56,79,2025-03-08,transfer,44506,2025-03,0,Saturday,10
57,253,2025-09-22,withdrawal,801093,2025-09,1,Monday,39
58,297,2025-09-23,withdrawal,724220,2025-09,1,Tuesday,39
59,166,2025-02-23,transfer,170747,2025-02,0,Sunday,8
60,226,2025-07-22,deposit,988398,2025-07,0,Tuesday,30
61,156,2025-01-05,withdrawal,630148,2025-01,1,Sunday,1
62,181,2025-05-15,transfer,43897,2025-05,0,Thursday,20
63,237,2025-01-06,withdrawal,49434,2025-01,0,Monday,2
64,189,2025-11-03,withdrawal,90458,2025-11,0,Monday,45
65,47,2025-08-24,transfer,316468,2025-08,0,Sunday,34
66,197,2025-09-17,withdrawal,618519,2025-09,1,Wednesday,38
67,22,2025-09-26,withdrawal,963207,2025-09,1,Friday,39
68,97,2025-08-08,withdrawal,644394,2025-08,1,Friday,32
69,257,2025-07-26,deposit,134758,2025-07,0,Saturday,30
70,53,2025-01-20,withdrawal,759014,2025-01,1,Monday,4
71,259,2024-12-28,transfer,95470,2024-12,0,Saturday,52
72,127,2025-07-20,transfer,234511,2025-07,0,Sunday,29
73,269,2025-02-27,transfer,324713,2025-02,0,Thursday,9
74,187,2025-05-01,withdrawal,972526,2025-05,1,Thursday,18
75,199,2025-05-30,withdrawal,822085,2025-05,1,Friday,22
76,27,2025-05-28,transfer,344374,2025-05,0,Wednesday,22
77,34,2025-09-19,withdrawal,109096,2025-09,0,Friday,38
78,198,2025-11-09,withdrawal,274236,2025-11,0,Sunday,45
79,77,2025-10-02,withdrawal,95461,2025-10,0,Thursday,40
80,73,2025-11-08,withdrawal,335301,2025-11,0,Saturday,45
81,201,2025-12-05,deposit,1252891,2025-12,0,Friday,49
82,44,2025-06-18,withdrawal,596072,2025-06,1,Wednesday,25
83,169,2025-12-02,deposit,1410335,2025-12,0,Tuesday,49
84,270,2025-11-16,deposit,1359812,2025-11,0,Sunday,46
85,217,2024-12-17,transfer,194702,2024-12,0,Tuesday,51
86,186,2025-03-27,withdrawal,199019,2025-03,0,Thursday,13
87,175,2025-04-02,withdrawal,211332,2025-04,0,Wednesday,14
88,71,2025-05-08,deposit,166826,2025-05,0,Thursday,19
89,52,2025-09-10,transfer,409160,2025-09,0,Wednesday,37
90,270,2025-05-29,deposit,1393166,2025-05,0,Thursday,22
91,68,2025-02-24,transfer,202509,2025-02,0,Monday,9
92,84,2025-11-27,deposit,1748456,2025-11,0,Thursday,48
93,85,2024-12-30,transfer,234466,2024-12,0,Monday,1
94,211,2025-04-08,withdrawal,719217,2025-04,1,Tuesday,15
95,228,2025-07-25,transfer,154384,2025-07,0,Friday,30
96,120,2025-05-15,transfer,130393,2025-05,0,Thursday,20
97,241,2025-11-20,deposit,776418,2025-11,0,Thursday,47
98,293,2025-05-01,withdrawal,494106,2025-05,0,Thursday,18
99,196,2025-07-10,transfer,281540,2025-07,0,Thursday,28
100,83,2025-10-13,deposit,1685362,2025-10,0,Monday,42
101,71,2025-11-01,withdrawal,64714,2025-11,0,Saturday,44
102,247,2025-01-29,withdrawal,591478,2025-01,1,Wednesday,5
103,265,2025-01-19,deposit,602820,2025-01,0,Sunday,3
104,83,2025-08-27,withdrawal,481145,2025-08,0,Wednesday,35
105,76,2025-03-31,withdrawal,106168,2025-03,0,Monday,14
106,231,2024-12-21,withdrawal,985670,2024-12,1,Saturday,51
107,213,2025-08-22,deposit,836424,2025-08,0,Friday,34
108,192,2025-01-18,deposit,814849,2025-01,0,Saturday,3
109,192,2025-05-20,deposit,64113,2025-05,0,Tuesday,21
110,51,2025-05-28,transfer,345766,2025-05,0,Wednesday,22
111,75,2025-05-03,deposit,85327,2025-05,0,Saturday,18
112,242,2025-02-17,transfer,440741,2025-02,0,Monday,8
113,241,2024-12-10,withdrawal,655239,2024-12,1,Tuesday,50
114,41,2025-03-28,deposit,541711,2025-03,0,Friday,13
115,77,2025-10-15,transfer,497949,2025-10,0,Wednesday,42
116,271,2025-05-04,withdrawal,126587,2025-05,0,Sunday,18
117,122,2025-01-01,withdrawal,137767,2025-01,0,Wednesday,1
118,123,2025-10-22,withdrawal,679989,2025-10,1,Wednesday,43
119,235,2025-08-20,deposit,237485,2025-08,0,Wednesday,34
120,275,2025-08-28,deposit,1330305,2025-08,0,Thursday,35
121,295,2025-02-19,deposit,1511896,2025-02,0,Wednesday,8
122,150,2025-10-18,withdrawal,11640,2025-10,0,Saturday,42
123,181,2025-07-09,deposit,1201768,2025-07,0,Wednesday,28
124,96,2025-01-20,transfer,355337,2025-01,0,Monday,4
125,269,2025-09-03,withdrawal,80966,2025-09,0,Wednesday,36
126,279,2025-08-24,transfer,417306,2025-08,0,Sunday,34
127,284,2025-08-05,deposit,823840,2025-08,0,Tuesday,32
128,23,2025-06-17,transfer,207837,2025-06,0,Tuesday,25
129,130,2025-06-08,transfer,13515,2025-06,0,Sunday,23
130,35,2025-11-09,withdrawal,262838,2025-11,0,Sunday,45
131,54,2025-05-27,transfer,390449,2025-05,0,Tuesday,22
132,69,2025-09-13,deposit,743824,2025-09,0,Saturday,37
133,174,2025-11-23,transfer,96797,2025-11,0,Sunday,47
134,238,2025-10-27,transfer,255888,2025-10,0,Monday,44
135,94,2025-07-30,deposit,137331,2025-07,0,Wednesday,31
136,19,2024-12-30,withdrawal,221383,2024-12,0,Monday,1
137,103,2025-05-15,deposit,666852,2025-05,0,Thursday,20
138,264,2025-09-12,withdrawal,865015,2025-09,1,Friday,37
139,243,2025-11-04,withdrawal,48399,2025-11,0,Tuesday,45
140,98,2025-01-01,withdrawal,384314,2025-01,0,Wednesday,1
141,170,2025-06-14,withdrawal,140521,2025-06,0,Saturday,24
142,224,2025-07-21,withdrawal,789414,2025-07,1,Monday,30
143,198,2025-08-19,withdrawal,205892,2025-08,0,Tuesday,34
144,255,2025-08-30,withdrawal,979209,2025-08,1,Saturday,35
145,137,2025-07-13,deposit,1529800,2025-07,0,Sunday,28
146,41,2025-03-10,withdrawal,641718,2025-03,1,Monday,11
147,280,2025-01-29,withdrawal,346814,2025-01,0,Wednesday,5
148,41,2025-05-08,withdrawal,703024,2025-05,1,Thursday,19
149,157,2025-07-14,withdrawal,641894,2025-07,1,Monday,29
150,86,2025-06-05,transfer,237735,2025-06,0,Thursday,23
151,229,2025-06-06,deposit,1529240,2025-06,0,Friday,23
152,223,2025-01-06,withdrawal,680532,2025-01,1,Monday,2
153,39,2025-07-03,transfer,339240,2025-07,0,Thursday,27
154,187,2025-11-20,transfer,425005,2025-11,0,Thursday,47
155,82,2025-10-15,deposit,304430,2025-10,0,Wednesday,42
156,225,2025-01-11,deposit,269723,2025-01,0,Saturday,2
157,121,2025-06-11,transfer,197061,2025-06,0,Wednesday,24
158,197,2025-10-13,transfer,21979,2025-10,0,Monday,42
159,79,2025-06-15,transfer,240889,2025-06,0,Sunday,24
160,191,2025-01-16,withdrawal,810152,2025-01,1,Thursday,3
161,294,2025-06-13,deposit,1115357,2025-06,0,Friday,24
162,204,2025-04-29,withdrawal,691113,2025-04,1,Tuesday,18
163,128,2025-03-13,deposit,59344,2025-03,0,Thursday,11
164,256,2025-09-21,transfer,207892,2025-09,0,Sunday,38
165,61,2025-04-20,withdrawal,822609,2025-04,1,Sunday,16
166,229,2025-05-03,deposit,1288199,2025-05,0,Saturday,18
167,252,2025-02-15,deposit,262189,2025-02,0,Saturday,7
168,38,2025-12-08,withdrawal,191043,2025-12,0,Monday,50
169,228,2025-11-22,deposit,1704769,2025-11,0,Saturday,47
170,164,2025-12-06,transfer,187150,2025-12,0,Saturday,49
171,34,2025-05-05,transfer,289253,2025-05,0,Monday,19
172,154,2025-12-06,deposit,1497771,2025-12,0,Saturday,49
173,90,2025-04-01,withdrawal,543469,2025-04,1,Tuesday,14
174,63,2025-02-17,deposit,1666082,2025-02,0,Monday,8
175,122,2025-06-10,withdrawal,37560,2025-06,0,Tuesday,24
176,284,2025-08-04,transfer,198415,2025-08,0,Monday,32
177,283,2025-01-21,deposit,1288348,2025-01,0,Tuesday,4
178,34,2025-08-10,withdrawal,427500,2025-08,0,Sunday,32
179,270,2025-07-05,withdrawal,816527,2025-07,1,Saturday,27
180,295,2025-05-19,deposit,267829,2025-05,0,Monday,21
181,38,2025-11-21,withdrawal,498461,2025-11,0,Friday,47
182,265,2025-09-16,withdrawal,144568,2025-09,0,Tuesday,38
183,94,2025-08-22,deposit,912266,2025-08,0,Friday,34
184,29,2025-02-24,deposit,1091538,2025-02,0,Monday,9
185,156,2025-05-22,deposit,344669,2025-05,0,Thursday,21
186,116,2025-08-30,withdrawal,996609,2025-08,1,Saturday,35
187,146,2025-03-18,deposit,530557,2025-03,0,Tuesday,12
188,283,2025-10-24,withdrawal,141250,2025-10,0,Friday,43
189,156,2025-01-24,transfer,284696,2025-01,0,Friday,4
190,258,2025-10-07,transfer,93413,2025-10,0,Tuesday,41
191,298,2025-11-10,deposit,364033,2025-11,0,Monday,46
192,173,2024-12-22,transfer,26597,2024-12,0,Sunday,51
193,42,2025-11-01,deposit,1994246,2025-11,0,Saturday,44
194,296,2025-03-25,withdrawal,692759,2025-03,1,Tuesday,13
195,293,2025-10-31,withdrawal,658133,2025-10,1,Friday,44
196,16,2025-10-25,withdrawal,942180,2025-10,1,Saturday,43
197,280,2025-05-11,withdrawal,683088,2025-05,1,Sunday,19
198,248,2025-11-23,deposit,1692553,2025-11,0,Sunday,47
199,208,2025-01-14,withdrawal,485575,2025-01,0,Tuesday,3
200,31,2025-07-08,deposit,926919,2025-07,0,Tuesday,28
201,248,2025-05-31,withdrawal,223933,2025-05,0,Saturday,22
202,74,2025-05-20,withdrawal,913332,2025-05,1,Tuesday,21
203,177,2025-06-15,withdrawal,147118,2025-06,0,Sunday,24
204,264,2025-05-20,transfer,60670,2025-05,0,Tuesday,21
205,124,2025-04-23,withdrawal,138473,2025-04,0,Wednesday,17
206,231,2025-01-26,deposit,300441,2025-01,0,Sunday,4
207,26,2025-10-19,withdrawal,412810,2025-10,0,Sunday,42
208,215,2025-02-27,deposit,1819681,2025-02,0,Thursday,9
209,168,2025-05-17,transfer,383078,2025-05,0,Saturday,20
210,98,2025-08-28,deposit,1049938,2025-08,0,Thursday,35
211,240,2025-05-14,withdrawal,931777,2025-05,1,Wednesday,20
212,255,2025-06-27,deposit,193846,2025-06,0,Friday,26
213,259,2025-03-28,withdrawal,262422,2025-03,0,Friday,13
214,299,2025-01-02,withdrawal,61021,2025-01,0,Thursday,1
215,145,2025-11-07,withdrawal,636543,2025-11,1,Friday,45
216,241,2024-12-12,withdrawal,572761,2024-12,1,Thursday,50
217,56,2025-04-22,withdrawal,150440,2025-04,0,Tuesday,17
218,188,2024-12-31,withdrawal,393713,2024-12,0,Tuesday,1
219,206,2025-09-21,deposit,1200967,2025-09,0,Sunday,38
220,100,2025-05-04,withdrawal,590096,2025-05,1,Sunday,18
221,38,2025-07-26,withdrawal,538750,2025-07,1,Saturday,30
222,282,2025-10-23,withdrawal,875401,2025-10,1,Thursday,43
223,61,2025-06-27,deposit,207755,2025-06,0,Friday,26
224,192,2025-06-13,withdrawal,594929,2025-06,1,Friday,24
225,74,2025-08-25,deposit,1268456,2025-08,0,Monday,35
226,206,2024-12-31,transfer,26105,2024-12,0,Tuesday,1
227,20,2025-05-27,deposit,1501510,2025-05,0,Tuesday,22
228,243,2025-02-22,transfer,244593,2025-02,0,Saturday,8
229,264,2025-10-17,deposit,692794,2025-10,0,Friday,42
230,164,2025-10-19,deposit,829085,2025-10,0,Sunday,42
231,154,2025-08-24,transfer,181356,2025-08,0,Sunday,34
232,261,2025-12-05,transfer,261820,2025-12,0,Friday,49
233,289,2024-12-16,withdrawal,507960,2024-12,1,Monday,51
234,189,2025-02-02,withdrawal,716537,2025-02,1,Sunday,5
235,214,2025-11-25,transfer,166311,2025-11,0,Tuesday,48
236,14,2025-04-22,transfer,253821,2025-04,0,Tuesday,17
237,297,2025-01-03,transfer,124298,2025-01,0,Friday,1
238,299,2025-09-02,withdrawal,188794,2025-09,0,Tuesday,36
239,195,2025-11-21,deposit,1728148,2025-11,0,Friday,47
240,125,2025-12-01,deposit,1205766,2025-12,0,Monday,49
241,57,2025-07-21,deposit,44714,2025-07,0,Monday,30
242,161,2025-07-07,withdrawal,168787,2025-07,0,Monday,28
243,105,2025-10-17,withdrawal,536195,2025-10,1,Friday,42
244,242,2025-01-08,transfer,386368,2025-01,0,Wednesday,2
245,71,2025-09-21,transfer,113706,2025-09,0,Sunday,38
246,167,2025-09-03,transfer,255804,2025-09,0,Wednesday,36
247,193,2025-07-31,withdrawal,191594,2025-07,0,Thursday,31
248,273,2025-06-07,withdrawal,582808,2025-06,1,Saturday,23
249,136,2025-03-16,transfer,258849,2025-03,0,Sunday,11
250,127,2025-05-09,withdrawal,595196,2025-05,1,Friday,19
251,116,2025-05-04,withdrawal,818634,2025-05,1,Sunday,18
252,107,2025-08-15,transfer,374616,2025-08,0,Friday,33
253,163,2025-09-20,withdrawal,375746,2025-09,0,Saturday,38
254,141,2025-09-27,withdrawal,137794,2025-09,0,Saturday,39
255,279,2025-06-28,withdrawal,949272,2025-06,1,Saturday,26
256,177,2024-12-29,deposit,614123,2024-12,0,Sunday,52
257,148,2025-06-03,transfer,46434,2025-06,0,Tuesday,23
258,227,2025-08-10,transfer,139450,2025-08,0,Sunday,32
259,110,2025-09-09,deposit,1741340,2025-09,0,Tuesday,37
260,139,2025-04-26,transfer,369994,2025-04,0,Saturday,17
261,71,2025-10-04,deposit,1296168,2025-10,0,Saturday,40
262,123,2025-11-15,deposit,111462,2025-11,0,Saturday,46
263,272,2025-04-06,deposit,1342866,2025-04,0,Sunday,14
264,27,2025-05-26,deposit,871755,2025-05,0,Monday,22
265,242,2025-02-16,deposit,1433563,2025-02,0,Sunday,7
266,3,2025-02-26,transfer,492115,2025-02,0,Wednesday,9
267,209,2025-08-08,transfer,495226,2025-08,0,Friday,32
268,245,2025-05-04,transfer,109572,2025-05,0,Sunday,18
269,165,2025-01-07,withdrawal,687273,2025-01,1,Tuesday,2
270,46,2025-04-05,transfer,306011,2025-04,0,Saturday,14
271,274,2024-12-27,transfer,384121,2024-12,0,Friday,52
272,90,2025-03-08,withdrawal,935100,2025-03,1,Saturday,10
273,19,2025-08-18,withdrawal,836236,2025-08,1,Monday,34
274,96,2025-05-05,transfer,462331,2025-05,0,Monday,19
275,20,2025-09-24,deposit,630773,2025-09,0,Wednesday,39
276,55,2025-07-28,withdrawal,308384,2025-07,0,Monday,31
277,279,2025-02-14,transfer,263952,2025-02,0,Friday,7
278,259,2025-03-16,withdrawal,296090,2025-03,0,Sunday,11
279,58,2025-07-30,withdrawal,180387,2025-07,0,Wednesday,31
280,132,2024-12-15,transfer,102621,2024-12,0,Sunday,50
281,173,2025-11-18,withdrawal,605361,2025-11,1,Tuesday,47
282,99,2025-10-31,deposit,1286264,2025-10,0,Friday,44
283,208,2025-05-24,withdrawal,550310,2025-05,1,Saturday,21
284,45,2025-01-25,withdrawal,711765,2025-01,1,Saturday,4
285,95,2025-05-22,deposit,1006293,2025-05,0,Thursday,21
286,128,2025-06-22,deposit,551906,2025-06,0,Sunday,25
287,121,2025-04-23,withdrawal,800371,2025-04,1,Wednesday,17
288,169,2025-09-27,withdrawal,620754,2025-09,1,Saturday,39
289,6,2025-06-10,withdrawal,695436,2025-06,1,Tuesday,24
290,121,2025-02-06,deposit,1405448,2025-02,0,Thursday,6
291,239,2025-07-03,withdrawal,177475,2025-07,0,Thursday,27
292,258,2025-05-16,transfer,408618,2025-05,0,Friday,20
293,61,2025-05-08,transfer,485316,2025-05,0,Thursday,19
294,189,2025-03-30,transfer,120788,2025-03,0,Sunday,13
295,69,2025-07-28,withdrawal,170626,2025-07,0,Monday,31
296,192,2025-09-15,withdrawal,746038,2025-09,1,Monday,38
297,242,2025-11-13,transfer,425476,2025-11,0,Thursday,46
298,112,2025-10-09,deposit,1431780,2025-10,0,Thursday,41
299,42,2025-09-04,transfer,239224,2025-09,0,Thursday,36
300,186,2025-09-22,deposit,1928601,2025-09,0,Monday,39
301,58,2025-09-14,deposit,1743065,2025-09,0,Sunday,37
302,259,2025-09-08,deposit,1206042,2025-09,0,Monday,37
303,77,2025-08-31,deposit,693112,2025-08,0,Sunday,35
304,227,2025-03-23,deposit,1431682,2025-03,0,Sunday,12
305,299,2025-08-26,withdrawal,105359,2025-08,0,Tuesday,35
306,229,2025-02-13,deposit,955916,2025-02,0,Thursday,7
307,263,2025-09-22,withdrawal,488987,2025-09,0,Monday,39
308,30,2025-11-17,transfer,247419,2025-11,0,Monday,47
309,158,2025-06-28,transfer,16413,2025-06,0,Saturday,26
310,131,2025-03-29,deposit,1569065,2025-03,0,Saturday,13
311,297,2025-07-12,deposit,99979,2025-07,0,Saturday,28
312,177,2025-09-11,transfer,38428,2025-09,0,Thursday,37
313,31,2025-08-06,deposit,1963269,2025-08,0,Wednesday,32
314,17,2025-03-10,withdrawal,438728,2025-03,0,Monday,11
315,70,2025-11-03,transfer,387357,2025-11,0,Monday,45
316,216,2025-06-21,withdrawal,944631,2025-06,1,Saturday,25
317,230,2025-01-18,withdrawal,403892,2025-01,0,Saturday,3
318,277,2025-06-04,deposit,1375560,2025-06,0,Wednesday,23
319,61,2025-06-27,deposit,1131712,2025-06,0,Friday,26
320,271,2025-04-01,deposit,1531429,2025-04,0,Tuesday,14
321,2,2025-08-02,deposit,630712,2025-08,0,Saturday,31
322,279,2025-06-20,withdrawal,567772,2025-06,1,Friday,25
323,118,2025-06-03,deposit,971001,2025-06,0,Tuesday,23
324,80,2025-02-03,withdrawal,207636,2025-02,0,Monday,6
325,17,2025-10-18,transfer,224802,2025-10,0,Saturday,42
326,9,2025-01-11,deposit,437184,2025-01,0,Saturday,2
327,52,2025-07-24,transfer,22603,2025-07,0,Thursday,30
328,25,2024-12-30,deposit,1558027,2024-12,0,Monday,1
329,206,2025-09-10,withdrawal,255722,2025-09,0,Wednesday,37
330,112,2025-08-22,deposit,298885,2025-08,0,Friday,34
331,149,2025-09-28,deposit,1715827,2025-09,0,Sunday,39
332,164,2025-11-17,transfer,318481,2025-11,0,Monday,47
333,165,2025-02-19,deposit,637845,2025-02,0,Wednesday,8
334,267,2025-05-10,deposit,872298,2025-05,0,Saturday,19
335,141,2025-10-06,deposit,1172522,2025-10,0,Monday,41
336,90,2025-07-14,transfer,360860,2025-07,0,Monday,29
337,285,2025-06-02,withdrawal,59161,2025-06,0,Monday,23
338,196,2025-11-29,transfer,172108,2025-11,0,Saturday,48
339,214,2025-05-10,withdrawal,166466,2025-05,0,Saturday,19
340,193,2025-09-09,deposit,1587125,2025-09,0,Tuesday,37
341,243,2025-04-02,deposit,1786197,2025-04,0,Wednesday,14
342,154,2025-08-02,transfer,80681,2025-08,0,Saturday,31
343,30,2025-07-09,transfer,221361,2025-07,0,Wednesday,28
344,286,2025-06-24,transfer,75303,2025-06,0,Tuesday,26
345,125,2025-05-26,withdrawal,223214,2025-05,0,Monday,22
346,41,2025-06-15,withdrawal,898283,2025-06,1,Sunday,24
347,48,2025-03-15,transfer,384891,2025-03,0,Saturday,11
348,27,2025-11-17,withdrawal,405489,2025-11,0,Monday,47
349,21,2025-10-04,deposit,399607,2025-10,0,Saturday,40
350,287,2025-03-24,deposit,1010362,2025-03,0,Monday,13
351,171,2024-12-15,withdrawal,963149,2024-12,1,Sunday,50
352,109,2025-02-06,deposit,1559986,2025-02,0,Thursday,6
353,246,2025-10-13,deposit,1463834,2025-10,0,Monday,42
354,105,2025-04-09,withdrawal,969579,2025-04,1,Wednesday,15
355,283,2025-05-01,withdrawal,823185,2025-05,1,Thursday,18
356,195,2025-11-05,withdrawal,569572,2025-11,1,Wednesday,45
357,184,2025-06-10,withdrawal,284267,2025-06,0,Tuesday,24
358,263,2025-01-27,withdrawal,498640,2025-01,0,Monday,5
359,241,2025-03-22,withdrawal,968745,2025-03,1,Saturday,12
360,190,2024-12-31,withdrawal,444037,2024-12,0,Tuesday,1
361,289,2025-02-20,deposit,1559518,2025-02,0,Thursday,8
362,9,2025-10-03,withdrawal,590189,2025-10,1,Friday,40
363,297,2025-05-08,transfer,223931,2025-05,0,Thursday,19
364,79,2025-04-04,deposit,696777,2025-04,0,Friday,14
365,195,2025-04-12,transfer,441922,2025-04,0,Saturday,15
366,256,2025-11-23,transfer,348203,2025-11,0,Sunday,47
367,173,2025-08-15,withdrawal,810441,2025-08,1,Friday,33
368,252,2025-06-06,withdrawal,186405,2025-06,0,Friday,23
369,87,2025-09-13,deposit,1515606,2025-09,0,Saturday,37
370,251,2025-09-11,deposit,1927877,2025-09,0,Thursday,37
371,31,2025-01-15,transfer,22733,2025-01,0,Wednesday,3
372,25,2025-02-16,deposit,869849,2025-02,0,Sunday,7
373,119,2025-02-23,deposit,1488042,2025-02,0,Sunday,8
374,5,2025-07-29,deposit,1065598,2025-07,0,Tuesday,31
375,192,2025-10-30,deposit,1300694,2025-10,0,Thursday,44
376,248,2024-12-16,transfer,260776,2024-12,0,Monday,51
377,4,2025-07-06,transfer,294220,2025-07,0,Sunday,27
378,7,2025-04-27,deposit,1115269,2025-04,0,Sunday,17
379,275,2025-08-22,withdrawal,27975,2025-08,0,Friday,34
380,221,2025-01-26,deposit,229429,2025-01,0,Sunday,4
381,269,2025-03-16,deposit,510348,2025-03,0,Sunday,11
382,270,2025-06-07,withdrawal,864814,2025-06,1,Saturday,23
383,137,2025-06-17,withdrawal,92857,2025-06,0,Tuesday,25
384,208,2025-04-11,withdrawal,602447,2025-04,1,Friday,15
385,116,2025-01-18,withdrawal,727269,2025-01,1,Saturday,3
386,17,2025-06-20,deposit,854930,2025-06,0,Friday,25
387,194,2025-01-05,transfer,254563,2025-01,0,Sunday,1
388,5,2025-01-19,transfer,94854,2025-01,0,Sunday,3
389,256,2025-05-26,withdrawal,686234,2025-05,1,Monday,22
390,290,2025-09-04,deposit,1881513,2025-09,0,Thursday,36
391,22,2025-11-27,deposit,448373,2025-11,0,Thursday,48
392,291,2024-12-31,withdrawal,294263,2024-12,0,Tuesday,1
393,39,2025-04-30,transfer,490273,2025-04,0,Wednesday,18
394,279,2024-12-24,transfer,350038,2024-12,0,Tuesday,52
395,92,2025-03-24,withdrawal,26418,2025-03,0,Monday,13
396,74,2025-06-29,transfer,435389,2025-06,0,Sunday,26
397,40,2025-09-22,withdrawal,180341,2025-09,0,Monday,39
398,124,2025-06-25,transfer,442597,2025-06,0,Wednesday,26
399,277,2025-02-17,withdrawal,412491,2025-02,0,Monday,8
400,41,2025-06-03,transfer,395833,2025-06,0,Tuesday,23
401,28,2025-04-05,deposit,921640,2025-04,0,Saturday,14
402,39,2025-10-18,withdrawal,644565,2025-10,1,Saturday,42
403,204,2025-10-28,withdrawal,41064,2025-10,0,Tuesday,44
404,140,2025-04-03,withdrawal,524435,2025-04,1,Thursday,14
405,183,2025-06-18,transfer,498429,2025-06,0,Wednesday,25
406,222,2025-10-03,deposit,1430423,2025-10,0,Friday,40
407,195,2025-10-20,deposit,1624352,2025-10,0,Monday,43
408,152,2025-01-14,deposit,1500496,2025-01,0,Tuesday,3
409,43,2025-06-20,withdrawal,171712,2025-06,0,Friday,25
410,79,2025-05-19,transfer,209274,2025-05,0,Monday,21
411,185,2024-12-10,deposit,196932,2024-12,0,Tuesday,50
412,158,2025-04-25,withdrawal,387400,2025-04,0,Friday,17
413,53,2025-03-13,deposit,188075,2025-03,0,Thursday,11
414,221,2025-09-18,withdrawal,594041,2025-09,1,Thursday,38
415,263,2024-12-21,withdrawal,118310,2024-12,0,Saturday,51
416,46,2025-01-24,withdrawal,591141,2025-01,1,Friday,4
417,167,2025-05-06,withdrawal,22940,2025-05,0,Tuesday,19
418,212,2025-01-20,withdrawal,827018,2025-01,1,Monday,4
419,287,2025-08-31,deposit,1204487,2025-08,0,Sunday,35
420,87,2025-03-04,transfer,204613,2025-03,0,Tuesday,10
421,72,2025-04-24,withdrawal,325759,2025-04,0,Thursday,17
422,253,2025-03-03,deposit,137680,2025-03,0,Monday,10
423,223,2025-05-10,withdrawal,451557,2025-05,0,Saturday,19
